2025-04-28 18:42:50.226 +02:00 [INF] Beginnig to create parsing structure matching...
2025-04-28 18:42:50.663 +02:00 [INF] Read all structure defining ontology graphs.
2025-04-28 18:42:50.667 +02:00 [INF] Merging all input graphs...
2025-04-28 18:42:50.722 +02:00 [INF] Creating owl inheritance tree from merged graphs...
2025-04-28 18:42:52.670 +02:00 [INF] Dynamically created owl class tree
2025-04-28 18:42:52.670 +02:00 [INF] Creating c# class inheritance tree from classes known to the assembly...
2025-04-28 18:42:52.908 +02:00 [INF] Dynamically created c# class tree
2025-04-28 18:42:52.951 +02:00 [INF] ##########################################
2025-04-28 18:42:52.951 +02:00 [INF] Created parsing structure for owl classes.
2025-04-28 18:42:52.952 +02:00 [INF] 91 classes could be mapped correctly
2025-04-28 18:42:52.952 +02:00 [INF] 50 were not mapped correctly
2025-04-28 18:42:52.952 +02:00 [INF] ##########################################
2025-04-28 18:42:52.959 +02:00 [WRN] Could not map MandatoryToEndChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map MandatoryToStartChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map OptionalToEndChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map OptionalToStartChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map EndState correctly, mapped with State instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map InitialStateOfBehavior correctly, mapped with State instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map AbstractDoState correctly, mapped with DoState instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map AbstractReceiveState correctly, mapped with ReceiveState instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map AbstractSendState correctly, mapped with SendState instead
2025-04-28 18:42:52.961 +02:00 [WRN] Could not map AbstractState correctly, mapped with State instead
2025-04-28 18:42:52.963 +02:00 [WRN] Could not map GeneralAbstractState correctly, mapped with State instead
